CLR         NAR         TRN         EFF         PLN         EXE           RMS            NRC      MEV
0.77028     0.76923     0.96962     0.99967     5.64888     5.60894     0.00209           0     1.00000
0.08866     0.41935     0.66667     0.50141     9.89403     0.88195     0.00122           2     0.00000
0.23123     0.50000     0.64822     0.97473     7.42232     7.42232     0.02043           0     1.00000
0.20902     0.43750     0.96878     0.99954     7.22174     7.17752     0.00448           0     1.00000
0.20012     0.45455     0.69591     0.92769     3.06565     3.02537     0.03806           1     0.00000
0.25708     0.55556     0.70858     0.93954     5.29562     5.26070     0.03145           0     1.00000
0.25708     0.42857     0.61565     0.89032     4.16678     4.15993     0.04344           0     1.00000
0.25708     0.65079     0.69591     0.99027    18.72996    18.68551     0.01136           1     0.50000
0.40545     0.45455     0.69591     0.91565     3.05991     3.03050     0.03184           0     1.00000
0.75653     0.83333     0.95405     0.99863     5.05174     5.01124     0.00789           0     1.00000
0.40546     0.50000     0.69591     0.91247     4.12360     4.08374     0.04004           0     1.00000
0.00000     0.62500     0.97277     0.99987    15.25465    15.20940     0.00409           1     0.80000
1.00000     1.00000     0.95305     0.99728     0.76752     0.72289     0.00705           0     1.00000
0.15470     0.64706     0.98422     0.99993     7.54207     7.50161     0.00167           1     1.00000
0.15470     0.64706     0.98422     0.99993     7.54207     7.50161     0.00167           0     0.30000
0.00000     0.25926     0.69591     0.55786     8.22123     2.13299     0.06377           3     0.00000
0.00000     0.46154     0.96618     0.99956     5.50417     5.46187     0.00226           1     0.20000
0.40546     0.07143     0.69591     0.91577     4.19344     4.15116     0.03626           1     0.50000
0.25708     0.50000     0.69591     0.90506     5.56516     5.54501     0.03487           0     0.00000
0.35701     0.50000     0.91025     0.99008     0.30640     0.26553     0.01939           0     1.00000
0.20141     0.30000     0.69591     0.95805     5.83567     5.82385     0.02181           0     1.00000
0.28146     0.33333     0.69591     0.91257     2.83077     2.79391     0.03752           0     1.00000
0.25708     0.22222     0.69591     0.96517     5.20340     5.17020     0.02058           0     1.00000
0.33333     0.46667     0.64074     0.94971     4.30146     0.08083     0.01356           0     1.00000
0.00365     0.09091     0.61003     0.89180     3.07161     3.07161     0.03188           0     1.00000
0.33333     0.37500     0.69291     0.97282     4.60135     4.56309     0.02112           0     1.00000
0.29012     0.55556     0.97213     0.99936     3.92646     3.87970     0.00236           0     1.00000
0.07243     0.25000     0.69591     0.84034     2.41998     2.37287     0.04551           1     0.20000
1.00000     1.00000     0.96641     0.99911     3.27697     3.23349     0.00305           0     1.00000
0.40545     0.40000     0.69591     0.87705     4.28339     4.24125     0.03206           0     1.00000
0.33333     0.37500     0.69591     0.96773     4.41218     4.41218     0.02452           0     1.00000
1.00000     1.00000     0.96172     0.99812     3.40357     3.35466     0.00456           0     1.00000
0.25235     0.87500     0.98038     0.99986     7.28420     7.24473     0.00111           1     0.00000
0.24702     0.00000     0.81278     0.95714     0.27242     0.24217     0.03205           1     0.00000
0.33333     0.40000     0.62620     0.89304     2.94334     2.94334     0.04121           0     1.00000
0.33333     0.35294     0.75000     0.97597     4.93032     4.88543     0.02094           0     1.00000
0.00000     0.38462     0.69591     0.91161     4.10850     4.07879     0.03274           0     1.00000
0.25760     0.33333     0.98098     0.99973     2.42751     2.38564     0.00340           0     1.00000
0.71078     0.50000     0.89581     0.98669     0.37264     0.33154     0.03438           0     1.00000
0.38872     0.35714     0.97223     0.99964     6.06409     6.01720     0.00184           0     1.00000
0.21587     0.50000     0.90867     0.99002     0.43162     0.39154     0.01773           1     0.00000
0.20315     0.37500     0.96792     0.99874     3.51749     3.47385     0.00370           1     0.00000
0.35392     0.50000     0.95103     0.99808     2.15213     2.10883     0.00729           0     1.00000
0.25708     0.18182     0.69591     0.84043     3.05880     3.05880     0.04851           0     0.00000
0.33333     0.20000     0.69591     0.94916     2.69845     2.66130     0.02892           0     0.00000
0.08866     0.00000     0.69591     0.30715     4.63693     1.48422     0.04822           1     0.00000
0.33333     0.16667     0.63292     0.95578     5.06837     5.06837     0.08414           0     0.00000
0.23014     0.00000     0.80768     0.95475     0.25325     0.00937     0.00536           2     0.00000
0.08866     0.33333     0.69591     0.74563     5.43803     0.75442     0.04073           2     0.00000
1.00000     1.00000     0.46807     0.67560     0.19436     0.19436     0.04406           0     0.00000
0.25708     0.41667     0.69591     0.84071     3.59876     3.56892     0.03936           1     0.00000
0.00000     0.82353     0.69591     0.97500    10.16543    11.14928     0.01547           1     0.00000
0.00000     0.45455     0.78563     0.91349     4.35469     4.35362     0.00550           1     0.00000
1.00000     1.00000     1.00000     1.00000     0.07323     0.03109     0.00235           0     0.00000
0.17510     0.00000     1.00000     1.00000     0.40505     0.14499     0.00167           1     0.00000
0.30440     0.72000     0.62852     0.95727     7.51566     7.51566     0.02336           0     0.00000
0.90192     0.88889     0.97182     0.99927     3.60464     3.56878     0.00294           0     0.00000
0.25708     0.55556     0.66688     0.94086     5.46525     5.46525     0.02631           0     0.00000
1.00000     1.00000     0.97881     0.99959     3.10357     3.07749     0.00395           0     0.00000
0.00000     0.16667     0.69591     0.51957     5.15051     1.44009     0.04025           3     0.00000
